date,ridership,rolling_7day_std
2026-01-01,483901,
2026-01-02,581075,
2026-01-03,444371,70348.40769579177
2026-01-04,383898,82779.69953386318
2026-01-05,643170,104449.78689063947
2026-01-06,670152,114668.47101695681
2026-01-07,681153,118460.3294846804
2026-01-08,657866,119209.09182009324
2026-01-09,668022,123753.60926550016
2026-01-10,515312,111925.29554488348
2026-01-11,397996,107363.81986254113
2026-01-12,637357,107039.65844600815
2026-01-13,676767,107748.0837195636
2026-01-14,686545,108401.15573492128
2026-01-15,673409,109798.0903155987
2026-01-16,694947,112688.25229281672
2026-01-17,463822,121378.70069116811
2026-01-18,396438,121820.8989266033
2026-01-19,654819,122788.3670853073
2026-01-20,679549,123057.2406292523
2026-01-21,684411,122829.98731134327
2026-01-22,676378,123103.26865336616
2026-01-23,690413,122575.40026915206
2026-01-24,461906,122948.7982005207
2026-01-25,404640,120633.02747510528
2026-01-26,662672,121182.2851272687
2026-01-27,687738,122018.37315807337
2026-01-28,691831,122804.89662391116
2026-01-29,684527,123566.45774373123
2026-01-30,734728,129259.74576889002
2026-01-31,557147,114189.05396294502
2026-02-01,484912,88762.86881348527
2026-02-02,382922,131371.52681830036
2026-02-03,466784,134243.45779643356
2026-02-04,694001,134568.84909892594
2026-02-05,708118,138101.4411039942
2026-02-06,728374,136896.18196126368
2026-02-07,552157,137015.20255535768
2026-02-08,465086,139346.26096936665
2026-02-09,709319,119025.61988316393
2026-02-10,737155,104927.14448879015
2026-02-11,744863,109627.484129535
2026-02-12,741839,112610.97488699769
2026-02-13,754025,115273.73579420599
2026-02-14,551721,115349.41578298617
2026-02-15,455885,118119.39096484028
2026-02-16,559543,123402.40541608664
2026-02-17,441546,138035.49779279515
2026-02-18,385817,144836.40501038858
2026-02-19,435892,123990.19149206145
2026-02-20,478074,63208.2273382038
2026-02-21,329406,72080.00366920307
2026-02-22,304523,87814.6253834635
2026-02-23,622133,105820.03621512973
2026-02-24,637753,132553.4677601384
2026-02-25,641409,144582.27846092463
2026-02-26,660139,154396.93657659818
2026-02-27,676170,162359.3052362861
2026-02-28,428573,142729.98587125808
2026-03-01,371873,122970.69280213927
2026-03-02,655586,125644.1586713768
2026-03-03,687223,130618.97011518809
2026-03-04,690342,135140.46171968462
2026-03-05,690622,138023.34990483458
2026-03-06,693183,139726.3000464361
2026-03-07,462844,133058.26056209195
2026-03-08,407919,122720.81968668339
2026-03-09,668743,123587.83407416317
2026-03-10,699306,124852.20364895459
2026-03-11,658211,122232.55847417613
2026-03-12,695828,122808.35419039051
2026-03-13,704143,124074.89308171143
2026-03-14,475009,121669.08114557927
2026-03-15,405940,122233.06086169598
2026-03-16,670793,122384.77478253354
2026-03-17,701399,122625.66942354059
2026-03-18,663241,122929.26889127294
2026-03-19,553920,119338.94353020222
2026-03-20,381752,132309.7483267418
2026-03-21,442449,135920.5908413685
2026-03-22,448473,129430.27161426687
2026-03-23,364392,134172.63767109552
2026-03-24,510866,104412.9169960263
2026-03-25,560192,78420.63232065563
2026-03-26,594350,86994.77872263387
2026-03-27,593453,87277.81996589992
2026-03-28,396077,94050.51076391035
2026-03-29,357252,107056.87214191136
2026-03-30,635644,106325.50754864156
2026-03-31,676856,121135.89194922116
2026-04-01,684913,132418.5241191912
2026-04-02,679790,139572.05343955284
2026-04-03,688059,146100.87554771733
2026-04-04,465209,132653.72321879843
2026-04-05,407704,117931.1690702919
2026-04-06,653033,118852.64484185795
2026-04-07,690080,120227.80466462926
2026-04-08,700099,121933.4081041977
2026-04-09,690448,122983.05593512842
2026-04-10,687062,122882.87868651915
2026-04-11,472992,121344.3849527925
2026-04-12,414348,119468.85619253432
2026-04-13,654547,119549.60597274323
2026-04-14,676312,118226.98906542557
2026-04-15,690991,117162.81187691267
2026-04-16,680750,116138.75763171466
2026-04-17,694755,117011.59438522105
2026-04-18,480430,115562.63797818159
2026-04-19,400037,119717.95806652866
2026-04-20,654126,119692.60707010338
2026-04-21,667343,118923.17770168578
2026-04-22,679592,117697.47118616912
2026-04-23,666240,116325.48359913011
2026-04-24,677094,114254.6103908787
2026-04-25,469074,116355.47001016229
2026-04-26,416831,111573.71012602287
2026-04-27,639362,110610.86036771334
2026-04-28,662597,110158.77055089975
2026-04-29,683391,110615.79697829293
2026-04-30,710842,116077.01001982657
2026-05-01,526883,115154.12495640898
2026-05-02,514783,108453.81239188135
2026-05-03,398878,113426.98753194274
2026-05-04,645832,113912.43865188345
2026-05-05,669736,114680.38929834131
2026-05-06,683323,114671.44965758258
