station,lat,lon,incoming_ridership
KJ15: KL Sentral,3.13442,101.68625,12483
KG20: Tun Razak Exchange,3.142403,101.720156,6409
KJ10: KLCC,3.158935,101.713287,5605
KJ17: Abdullah Hukum,3.118735,101.672897,5034
KG15: Muzium Negara,3.137317,101.687336,5004
KG22: Maluri,3.123623,101.727809,4367
KG09: Bandar Utama,3.14671,101.618599,4043
KJ14: Pasar Seni,3.142439,101.69531,3815
KJ16: Bank Rakyat Bangsar,3.127588,101.679062,3198
KJ19: Universiti,3.114616,101.661639,3134
KG21: Cochrane,3.132829,101.722962,3093
KG07: Surian,3.14948,101.593925,2797
KG08: Mutiara Damansara,3.155301,101.609077,2458
KG25: Taman Mutiara,3.090989,101.740453,2178
KG26: Taman Connaught,3.079172,101.74522,1939
KG06: Kota Damansara,3.150134,101.57869,1731
KG35: Kajang,2.982778,101.790278,1726
KJ18: Kerinchi,3.115506,101.668572,1393
KJ28: Subang Jaya,3.08466,101.588127,1370
KG27: Taman Suntex,3.071578,101.763552,1292
KJ26: Ara Damansara,3.108643,101.586372,1067
KG10: TTDI,3.13613,101.630539,976
KJ11: Kampung Baru,3.161386,101.706608,923
KJ29: SS 15,3.075972,101.585983,903
KJ13: Masjid Jamek,3.149714,101.696815,850
KJ12: Dang Wangi,3.156942,101.701975,775
KJ27: Cgc Glenmarie,3.094732,101.590622,750
KJ20: Taman Jaya,3.104086,101.645248,712
KG05: Kwasa Sentral,3.170112,101.564651,649
SP24: IOI Puchong Jaya,3.048101,101.62095,643
KG13: Pusat Bandar Damansara,3.143444,101.662857,626
KJ25: Lembah Subang,3.112094,101.591034,618
KG16: Pasar Seni,3.142293265,101.6955642,588
KG24: Taman Midah,3.104505,101.732186,586
KJ21: Asia Jaya,3.104343,101.637695,460
KG14: Semantan,3.150977,101.665497,449
SP25: Pusat Bandar Puchong,3.033194,101.616057,339
SP29: Puchong Prima,2.999808,101.596692,330
KJ22: Taman Paramount,3.104716,101.623192,314
AG10: Pudu,3.134879,101.711957,293
KJ24: Kelana Jaya,3.112497,101.6043,290
KG23: Taman Pertama,3.112547,101.729371,287
KJ23: Taman Bahagia,3.11079,101.612856,273
KG12: Phileo Damansara,3.129864,101.642471,271
SP19: Awan Besar,3.062131,101.670555,264
KG29: Bandar Tun Hussien Onn,3.048223,101.775109,258
